TASK: Count Check — API Endpoint Catalog
===========================================
Expected: 94 route.ts files (per glob src/app/api/**/route.ts)
Actual:   94 route.ts files documented in .omo/refs/api-catalog.md

All 94 files confirmed present in glob output and catalog.

Breakdown by domain:

| Domain              | Files | Endpoints |
|---------------------|-------|-----------|
| Health              |     3 |         3 |
| Auth                |     5 |         5 |
| Sessions            |    21 |        29 |
| Generation          |     1 |         1 |
| Search              |     1 |         1 |
| Groups              |     3 |         7 |
| Invitations         |     1 |         1 |
| Universes           |     2 |         5 |
| NPCs                |     2 |         5 |
| Personas            |     4 |         7 |
| Timeline            |     4 |         8 |
| Narrative           |     4 |         9 |
| Relationships       |     5 |        11 |
| Settings            |     2 |         3 |
| Jobs                |     2 |         4 |
| TTS                 |     7 |        13 |
| Voice Assignments   |     1 |         4 |
| Backlinks           |     2 |         4 |
| Contradictions      |     1 |         3 |
| Models              |     2 |         2 |
| Idle Processing     |     1 |         1 |
| Admin               |     2 |         3 |
| Users               |     1 |         1 |
| Wiki                |    17 |        20 |
|---------------------|-------|-----------|
| **TOTAL**           | **94**| **152**   |

VERIFIED: glob src/app/api/**/route.ts returns exactly 94 files.
